situation,letter,person_index,depth,height,true_height
103,A,1,1746.2229662626885,326.4462614368987,103
103,B,1,2462.2668250404945,279.9623719825065,103
112,A,1,2252.3106057234822,111.27304523271084,112
123,A,1,1969.9318869003785,360.24564216718545,123
123,B,1,2446.5848324718872,338.8714077976393,123
124,A,1,2677.97678374138,312.4948524755902,124
125,A,1,1642.173393653287,438.534905502147,125
125,B,1,1617.3338507171156,439.44166932901993,125
127,A,1,1337.8950255510647,239.97291737673584,127
129,A,1,2184.364010077853,368.7738230033288,129
131,A,1,1783.8276638712352,222.88554253861776,131
133,A,1,2382.9028527314667,397.4181760406657,133
140,A,1,2476.327826142053,412.7635729597739,140
140,B,1,1407.7596708884732,254.364090908922,140
140,C,1,1659.0939521598148,463.2242526894461,140
140,D,1,1660.0221615281214,463.7667955318653,140
140,E,1,1664.7767198387955,467.3529293157516,140
140,F,1,1662.5376875923043,465.7729780024516,140
143,A,1,2421.32840673682,408.033853553501,143
150,A,1,1615.577692526675,507.69328839670897,150
150,B,1,1618.3175835393024,504.53161419467017,150
153,A,1,2005.299848671663,489.8073723075179,153
155,A,1,1264.1148825929763,595.535843543076,155
155,B,1,1327.833283149098,581.0680099112267,155
157,A,1,1681.202709714668,552.7873109898717,157
158,A,1,1760.0484301217352,555.575406372788,158
160,A,1,1254.196342709628,601.8661872287789,160
160,B,1,1244.8403358023656,611.743722665659,160
162,A,1,2688.988140875917,434.96436879027385,162
167,A,1,2016.870978067035,563.7114772009187,167
168,A,1,1992.9152670411904,584.710799257066,168
170,A,1,1605.3439854745457,632.6130979138709,170
173,A,1,2279.518599577147,552.6415767428443,173
173,B,1,1645.6220158643505,606.0239436951043,173
173,C,1,1636.7145428036506,598.8683931367318,173
174,A,1,1294.0929148332175,649.0706514909485,174
174,B,1,1289.0786314067825,658.4989253993167,174
179,A,1,2633.4189019368678,500.8494528911329,179
85,A,1,1592.562086858211,211.20456612912423,85
85,B,1,1562.887310848372,274.5937864173468,85
85,C,1,1586.4366731024645,289.06900012149777,85
