situation,h_estimation_1,h_estimation_2
150_350_a,467.58258455769294,427.3305944727428
150_350_b,465.61530517499534,408.8918954681053
176_504_a,535.4623096726157,343.4515630297103
176_504_b,538.4769908719236,339.84627261173915
204_722_a,397.39917827581866,279.23186551765247
204_722_b,394.9981993593861,276.89916056411766
250_350_a,418.9522027666336,508.048311260475
250_350_b,502.491662489423,420.10757696018214
298_604_a,453.8594286815163,313.644667284051
