situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,46.257179260253906,20.18606158665248,
150_bodyside_variant,45.17950105667114,15.587107912699382,
150_500,47.33193935047496,16.92472021203292,
200_front,17.359527945518494,,
200_shaking_hands_variant,19.132001399993896,,
200_400_front,29.77253557653988,,
200_400_sitdown,32.11290603525498,,
200_400_sitdown_side_variant,19.692158335731143,45.801201248168944,
250_front,27.636874304877388,13.169816244216193,
250_oneback_one_front_variant,19.664781502314977,,
250_side_variant,22.744980080922446,,
250_350,43.09736213684082,15.745375052742336,
250_500,28.478630996331937,,
250_600,48.55281720842634,22.12776777479384,
250_600_perspective_variant,15.425723114013671,,
300_front,35.07853674888611,13.396105819278294,
350_front,40.59183098288143,15.477652788162231,
350_side_variant,39.03728008270264,13.490424738989937,
400_front,45.16319298744202,14.70018000072903,
400_oneside_variant,38.01419088575575,,
400_120cm_h_variant,45.44017066955566,20.291653119600735,
450_front,49.25625864664713,13.576814704471165,
450_side_variant,48.181571578979494,18.965889241960312,
450_600,13.94129212697347,,
500_front,14.93616008758545,,
500_oneside_variant,49.41661707560221,15.36457724571228,
550_front,47.87676111857096,15.045561824526105,
550_oneside_variant,14.478563666343689,,
600_front,47.61772886912028,14.325312267650258,42.50506464640299
600_oneside_variant,18.608552169799804,,
