situation,z_estimation,h_estimation
125_a,517.2766193683113,37.176440477371216
125_b,513.1678206038816,36.687437891960144
140_a,544.7000368387453,37.95557737350464
140_b,540.9373863395022,38.404804706573486
140_c,542.2171582343077,38.115440368652344
140_d,539.6318942452555,38.380249977111816
150_a,514.2160229743022,42.70608568191528
150_b,510.5423073926139,42.80416488647461
157_a,520.2694349863291,46.819725036621094
173_a,539.9625123402578,51.00311088562012
173_b,538.0838891565328,49.92072296142578
85_a,487.81550361547255,17.099543571472168
85_b,470.04396086810385,21.929033279418945
85_c,472.38944179556586,21.98556423187256
