situation,letter,person_index,depth,height
200,A,1,1306.9971721655404,634.8530346990597
250,A,1,1420.0077103695348,620.1613891209747
300,A,1,1726.4432060326633,593.7874447251479
350,A,1,1916.396005698406,561.1700914936777
400,A,1,2088.858728487063,542.9388611069555
450,A,1,2242.7625700131744,521.4846735429585
500,A,1,2344.136221270054,518.062420779026
550,A,1,2537.0334370663,490.4383277281926
600,A,1,2641.522817959157,474.04960495055514
