situation,letter,person_index,depth,height,true_depth
220_z,A,1,98.7240229288737,50.28567314147949,220
220_z,B,1,99.84405771891277,50.73054790496826,220
220_z,C,1,95.30513814290364,45.641791343688965,220
220_z,D,1,94.98153686523438,46.44766139984131,220
220_z,E,1,96.20394592285156,45.41374111175537,220
220_z,F,1,95.42034505208332,44.26040172576904,220
230_z,A,1,107.30485803940716,32.74187780916691,230
245_z,A,1,116.58722597009996,36.573994159698486,245
282_z,A,1,131.51727564194624,51.63960361480713,282
330_z,A,1,148.83198996151194,33.865450859069824,330
330_z,B,1,146.55731111414292,30.72892189025879,330
330_z,C,1,146.54779357910155,46.17178821563721,330
385_z,A,1,179.0874012538365,53.6209659576416,385
395_z,A,1,176.16753791360293,49.19089317321777,395
395_z,B,1,174.05383749569162,42.921422243118286,395
395_z,C,1,172.27211178050322,32.39530086517334,395
457_z,A,1,197.07373860677083,33.26578521728516,457
457_z,B,1,199.092869758606,27.94652557373047,457
457_z,C,1,207.66853512034697,50.67769718170166,457
492_z,A,1,226.35211791992188,36.14058041572571,492
500_z,A,1,235.46089710908777,40.13649523258209,500
538_z,A,1,230.18971880744485,32.51187610626221,538
538_z,B,1,233.55342909869023,26.513835906982425,538
538_z,C,1,236.514910697937,40.35667252540589,538
620_z,A,1,267.2847947340745,48.79205793142319,620
620_z,B,1,265.8344774246216,30.74562263488769,620
620_z,C,1,262.0847930908203,49.50352954864502,620
