situation,letter,person_index,depth,height,true_depth
200,A,1,1303.9673996613883,634.440398763478,200
250,A,1,1411.4994666899695,618.1628617590867,250
300,A,1,1677.3469774545365,594.4644182171534,300
350,A,1,1914.7069470638323,562.0769975063045,350
400,A,1,2078.2674347983275,541.7633949532758,400
450,A,1,2250.899327501819,524.3178289306464,450
500,A,1,2376.759696607453,516.5340487609963,500
550,A,1,2560.5613835392724,490.8048272589183,550
600,A,1,2662.6340574185297,475.2756596804492,600
