situation,letter,person_index,depth,height,true_depth
200,A,1,240.64724347603155,180.00371947184573,200
250,A,1,262.3914234628453,174.31572089219958,250
300,A,1,322.5383662469036,166.78773822347193,300
350,A,1,359.62992250657214,157.91991876441938,350
400,A,1,393.30655448374,152.51984090808114,400
450,A,1,423.3602079913796,146.49913055828154,450
500,A,1,443.15626003697696,145.543165535166,500
550,A,1,480.8278001338185,140.79967086836336,550
600,A,1,501.2343742331451,133.186184387324,600
