situation,z_estimation,h_estimation
125_a,306.44382665740466,37.176440477371216
125_b,304.48908988536164,36.687437891960144
140_a,319.49035573266895,40.63088655471802
140_b,317.7002969556636,40.80114459991455
140_c,318.30914088451686,40.67830753326416
140_d,317.079216793664,40.38975811004639
150_a,304.9877659791487,42.70608568191528
150_b,303.2400174644926,42.80416488647461
157_a,307.86764103135965,46.819725036621094
173_a,317.23650640185775,51.00311088562012
173_b,316.3427625052642,49.92072296142578
85_a,292.42787464582403,20.979802131652832
85_b,283.9731680281744,21.929033279418945
85_c,285.0890167420921,21.98556423187256
