situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,1597.54252955587,738.305249605435
250_z,126,A,1,1643.0821527966077,286.36520838343074
250_z,135,A,1,1568.5093792781001,69.31839414380866
250_z,150,A,1,1585.1005692311942,901.9437821703557
250_z,88,A,1,1667.2707063435269,142.38408879550758
350_z,123,A,1,1961.5211132616814,18.6757930329112
350_z,126,A,1,2094.3715538977854,451.72955019862394
350_z,133,A,1,1960.094657784295,115.47415208620058
350_z,150,A,1,2009.6777488885505,814.1597094824533
350_z,86,A,1,2075.984194505142,237.76977680341753
451_z,123,A,1,2344.579791922293,275.6340690637089
451_z,127,A,1,2340.5688140090215,259.493187050997
451_z,132,A,1,2378.376729833209,389.84345817714905
451_z,145,A,1,2364.285726519745,587.6035805931446
451_z,83,A,1,2300.336682892038,291.899565872955
