situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,2157.78125,955.2365386486053
250_z,126,A,1,2175.600341796875,444.7500171661377
250_z,135,A,1,2123.989559397978,538.5640640258789
250_z,150,A,1,2163.845099954044,1147.0436401367188
250_z,88,A,1,2244.405265299479,173.05877685546875
350_z,123,A,1,2926.179899088542,545.6246910095215
350_z,126,A,1,3127.321576286765,0.0
350_z,133,A,1,2898.213206571691,22.785489082336426
350_z,150,A,1,2940.345889820772,1130.672866821289
350_z,86,A,1,3166.871452780331,148.89849853515625
451_z,123,A,1,3791.6126556396484,
451_z,127,A,1,3599.6830891927084,538.4413633346558
451_z,132,A,1,3635.162166819853,0.0
451_z,145,A,1,3687.8885803222656,607.7742309570312
451_z,83,A,1,3923.3733197380516,
