situation_depth,situation_height,letter,person_index,depth,height
250_z,124,A,1,1610.2973143475676,594.5891838177062
250_z,126,A,1,1673.7830961804411,227.32583954182886
250_z,135,A,1,1580.3105932316384,208.28381424812855
250_z,150,A,1,1593.66707003995,700.3543976990683
250_z,88,A,1,1616.4016815817738,319.96146055748153
350_z,123,A,1,1974.5579304686544,177.4493019853719
350_z,126,A,1,2106.467669694569,499.33152901715624
350_z,133,A,1,1967.556414273375,181.7813187421351
350_z,150,A,1,2074.3678984816997,530.7565863704777
350_z,86,A,1,2081.770325785557,191.03623830845834
451_z,123,A,1,2356.8754617272098,214.44650465603422
451_z,127,A,1,2332.5966803343053,203.75117274460243
451_z,132,A,1,2379.591924973836,458.99876419203235
451_z,145,A,1,2336.0833563403376,549.8769738507482
451_z,83,A,1,2313.214031693338,306.20682897501126
