situation,z_estimation_1
240_a,88.34988520695613
240_b,87.48345008263222
176_a,66.68736149714543
160_a,63.60193143572126
160_b,63.491584232875276
160_c,66.98242891751804
204_722_a,73.7704651776482
204_722_a,160.4000378776999
204_722_b,74.02866991828469
204_722_b,159.9316244686351
250_350_a,85.31325396369485
250_350_a,106.9594529095818
250_350_b,85.62271566951976
250_350_b,107.13535263959099
176_504_a,66.54465746879578
176_504_a,139.1172860952524
176_504_b,67.70432353019714
176_504_b,138.93073214017429
150_350_a,57.90637461344401
150_350_a,107.6138224882238
150_350_b,57.59456736246745
150_350_b,107.68804258458755
298_604_a,97.42485284805298
298_604_a,144.22073498894187
298_604_b,97.53707706227021
298_604_b,145.42221641540527
